2002/04/06_22:27:22	Random seed is: (35, 124, 36)
2002/04/06_22:27:22	Hi There
2002/04/06_22:27:22	>>>>>>>>>>>>>>>> BEGINNING TESTS
2002/04/06_22:27:23	Stopping Cluster Manager on all nodes
2002/04/06_22:27:28	Starting Cluster Manager on all nodes
2002/04/07_01:17:50	Running test Stonith (sgi1)	[198]
2002/04/07_01:20:27	Running test Restart (sgi2)	[199]
2002/04/07_01:21:13	Running test SimulStart (sgi1)	[200]
2002/04/07_01:21:40	Running test SimulStart (sgi2)	[201]
2002/04/07_01:22:07	Running test Restart (sgi1)	[202]
2002/04/07_01:22:53	Running test flip (sgi1)	[203]
2002/04/07_01:23:35	Running test standby (sgi1)	[204]
2002/04/07_01:23:39	Running test SimulStart (sgi2)	[205]
2002/04/07_01:23:59	Running test flip (sgi1)	[206]
2002/04/07_01:24:42	Running test standby (sgi1)	[207]
2002/04/07_01:24:45	Running test SimulStart (sgi1)	[208]
2002/04/07_01:25:06	Running test flip (sgi2)	[209]
2002/04/07_01:25:47	Running test standby (sgi1)	[210]
2002/04/07_01:26:00	Running test SimulStart (sgi2)	[211]
2002/04/07_01:26:19	Running test SimulStart (sgi2)	[212]
2002/04/07_01:26:43	Running test standby (sgi1)	[213]
2002/04/07_01:26:54	Running test Restart (sgi1)	[214]
2002/04/07_01:27:39	Running test standby (sgi2)	[215]
2002/04/07_01:27:46	Running test Restart (sgi1)	[216]
2002/04/07_01:28:32	Running test flip (sgi2)	[217]
2002/04/07_01:29:12	Running test Restart (sgi2)	[218]
2002/04/07_01:29:59	Running test Stonith (sgi2)	[219]
2002/04/07_01:32:23	Running test Restart (sgi2)	[220]
2002/04/07_01:33:07	Running test Stonith (sgi2)	[221]
2002/04/07_01:35:34	Running test SimulStart (sgi1)	[222]
2002/04/07_01:36:01	Running test Restart (sgi2)	[223]
2002/04/07_01:36:46	Running test flip (sgi1)	[224]
2002/04/07_01:37:27	Running test Stonith (sgi2)	[225]
2002/04/07_01:40:20	Running test Restart (sgi2)	[226]
2002/04/07_01:41:07	Running test Restart (sgi2)	[227]
2002/04/07_01:41:54	Running test standby (sgi2)	[228]
2002/04/07_01:42:00	Running test SimulStart (sgi1)	[229]
2002/04/07_01:42:25	Running test Stonith (sgi1)	[230]
2002/04/07_01:44:57	Running test SimulStart (sgi2)	[231]
2002/04/07_01:45:20	Running test SimulStart (sgi2)	[232]
2002/04/07_01:45:46	Running test Restart (sgi1)	[233]
2002/04/07_01:46:30	Running test Restart (sgi2)	[234]
2002/04/07_01:47:15	Running test standby (sgi2)	[235]
2002/04/07_01:47:21	Running test SimulStart (sgi1)	[236]
2002/04/07_01:47:45	Running test standby (sgi2)	[237]
2002/04/07_01:47:56	Running test SimulStart (sgi1)	[238]
2002/04/07_01:48:19	Running test Stonith (sgi2)	[239]
2002/04/07_01:50:45	Running test Restart (sgi2)	[240]
2002/04/07_01:51:30	Running test standby (sgi1)	[241]
2002/04/07_01:51:36	Running test standby (sgi1)	[242]
2002/04/07_01:51:42	Running test Restart (sgi1)	[243]
2002/04/07_01:52:28	Running test SimulStart (sgi2)	[244]
2002/04/07_01:52:52	Running test Stonith (sgi2)	[245]
2002/04/07_01:55:17	Running test standby (sgi2)	[246]
2002/04/07_01:55:23	Running test flip (sgi1)	[247]
2002/04/07_01:56:05	Running test standby (sgi1)	[248]
2002/04/07_01:56:08	Running test standby (sgi2)	[249]
2002/04/07_01:56:22	Running test Stonith (sgi2)	[250]
2002/04/07_01:59:18	Running test Stonith (sgi1)	[251]
2002/04/07_03:01:46	Running test flip (sgi2)	[252]
2002/04/07_03:02:28	Running test SimulStart (sgi1)	[253]
2002/04/07_03:02:48	Running test standby (sgi2)	[254]
2002/04/07_03:02:54	Running test SimulStart (sgi1)	[255]
2002/04/07_03:03:18	Running test Stonith (sgi1)	[256]
2002/04/07_03:05:53	Running test standby (sgi2)	[257]
2002/04/07_03:06:00	Running test Restart (sgi1)	[258]
2002/04/07_03:06:44	Running test flip (sgi1)	[259]
2002/04/07_03:07:25	Running test Stonith (sgi1)	[260]
2002/04/07_03:09:59	Running test SimulStart (sgi1)	[261]
2002/04/07_03:10:22	Running test standby (sgi2)	[262]
2002/04/07_03:10:32	Running test flip (sgi1)	[263]
2002/04/07_03:11:14	Running test flip (sgi2)	[264]
2002/04/07_03:11:48	Running test standby (sgi2)	[265]
2002/04/07_03:11:48	Running test Stonith (sgi2)	[266]
2002/04/07_03:14:41	Running test Stonith (sgi2)	[267]
2002/04/07_03:17:36	Running test Restart (sgi2)	[268]
2002/04/07_03:18:23	Running test SimulStart (sgi2)	[269]
2002/04/07_03:18:49	Running test standby (sgi1)	[270]
2002/04/07_03:18:58	Running test standby (sgi2)	[271]
2002/04/07_03:19:05	Running test SimulStart (sgi1)	[272]
2002/04/07_03:19:29	Running test Stonith (sgi1)	[273]
2002/04/07_03:22:02	Running test standby (sgi2)	[274]
2002/04/07_03:22:11	Running test SimulStart (sgi2)	[275]
2002/04/07_03:22:37	Running test Stonith (sgi1)	[276]
2002/04/07_03:25:12	Running test flip (sgi1)	[277]
2002/04/07_03:25:53	Running test Stonith (sgi1)	[278]
2002/04/07_03:28:27	Running test SimulStart (sgi1)	[279]
2002/04/07_03:28:53	Running test Restart (sgi2)	[280]
2002/04/07_03:29:39	Running test Restart (sgi2)	[281]
2002/04/07_03:30:26	Running test standby (sgi2)	[282]
2002/04/07_03:30:33	Running test flip (sgi1)	[283]
2002/04/07_03:31:15	Running test flip (sgi1)	[284]
2002/04/07_03:31:22	Running test Stonith (sgi2)	[285]
2002/04/07_03:33:46	Running test Restart (sgi1)	[286]
2002/04/07_03:34:32	Running test Stonith (sgi2)	[287]
2002/04/07_03:36:59	Running test standby (sgi1)	[288]
2002/04/07_03:37:07	Running test standby (sgi2)	[289]
2002/04/07_03:37:14	Running test SimulStart (sgi1)	[290]
2002/04/07_03:37:41	Running test Restart (sgi2)	[291]
2002/04/07_03:38:27	Running test standby (sgi2)	[292]
2002/04/07_03:38:33	Running test Stonith (sgi2)	[293]
2002/04/07_03:41:01	Running test Restart (sgi1)	[294]
2002/04/07_03:41:45	Running test Stonith (sgi1)	[295]
2002/04/07_03:44:15	Running test standby (sgi2)	[296]
2002/04/07_03:44:22	Running test SimulStart (sgi1)	[297]
2002/04/07_03:44:46	Running test flip (sgi2)	[298]
2002/04/07_03:45:27	Running test Restart (sgi1)	[299]
2002/04/07_03:46:36	Running test flip (sgi1)	[300]
2002/04/07_03:47:10	Running test SimulStart (sgi2)	[301]
2002/04/07_03:47:26	Running test flip (sgi1)	[302]
2002/04/07_03:48:07	Running test SimulStart (sgi1)	[303]
2002/04/07_03:48:26	Running test Restart (sgi1)	[304]
2002/04/07_03:49:10	Running test standby (sgi2)	[305]
2002/04/07_03:49:16	Running test SimulStart (sgi2)	[306]
2002/04/07_03:49:40	Running test Restart (sgi2)	[307]
2002/04/07_03:50:24	Running test Restart (sgi2)	[308]
2002/04/07_03:51:09	Running test standby (sgi2)	[309]
2002/04/07_03:51:15	Running test Stonith (sgi1)	[310]
2002/04/07_03:53:46	Running test flip (sgi1)	[311]
2002/04/07_03:54:27	Running test flip (sgi1)	[312]
2002/04/07_03:54:34	Running test Restart (sgi1)	[313]
2002/04/07_03:55:18	Running test standby (sgi2)	[314]
2002/04/07_03:55:26	Running test Stonith (sgi1)	[315]
2002/04/07_03:57:59	Running test Restart (sgi2)	[316]
2002/04/07_03:58:43	Running test SimulStart (sgi2)	[317]
2002/04/07_03:59:07	Running test Stonith (sgi1)	[318]
2002/04/07_04:01:41	Running test standby (sgi1)	[319]
2002/04/07_04:01:47	Running test SimulStart (sgi2)	[320]
2002/04/07_04:02:14	Running test Stonith (sgi2)	[321]
2002/04/07_04:04:37	Running test flip (sgi2)	[322]
2002/04/07_04:05:18	Running test flip (sgi2)	[323]
2002/04/07_04:05:27	Running test SimulStart (sgi2)	[324]
2002/04/07_04:05:51	Running test flip (sgi2)	[325]
2002/04/07_04:06:32	Running test Restart (sgi2)	[326]
2002/04/07_04:07:21	Running test Stonith (sgi1)	[327]
2002/04/07_04:09:53	Running test flip (sgi2)	[328]
2002/04/07_04:10:35	Running test flip (sgi2)	[329]
2002/04/07_04:10:42	Running test Restart (sgi2)	[330]
2002/04/07_04:11:26	Running test SimulStart (sgi1)	[331]
2002/04/07_04:11:52	Running test SimulStart (sgi1)	[332]
2002/04/07_04:12:18	Running test standby (sgi2)	[333]
2002/04/07_04:12:28	Running test Restart (sgi1)	[334]
2002/04/07_04:13:13	Running test Restart (sgi1)	[335]
2002/04/07_04:13:57	Running test Restart (sgi1)	[336]
2002/04/07_04:14:42	Running test SimulStart (sgi1)	[337]
2002/04/07_04:15:07	Running test Restart (sgi2)	[338]
2002/04/07_04:15:52	Running test SimulStart (sgi1)	[339]
2002/04/07_04:16:15	Running test flip (sgi1)	[340]
2002/04/07_04:16:57	Running test Restart (sgi2)	[341]
2002/04/07_04:18:07	Running test Restart (sgi2)	[342]
2002/04/07_04:19:17	Running test standby (sgi1)	[343]
2002/04/07_04:19:20	Running test flip (sgi1)	[344]
2002/04/07_04:19:27	Running test flip (sgi1)	[345]
2002/04/07_04:20:08	Running test standby (sgi1)	[346]
2002/04/07_04:20:12	Running test standby (sgi1)	[347]
2002/04/07_04:20:15	Running test Stonith (sgi2)	[348]
2002/04/07_04:23:07	Running test standby (sgi1)	[349]
2002/04/07_04:23:11	Running test flip (sgi1)	[350]
2002/04/07_04:23:18	Running test standby (sgi1)	[351]
2002/04/07_04:23:24	Running test flip (sgi2)	[352]
2002/04/07_04:24:05	Running test standby (sgi2)	[353]
2002/04/07_04:24:08	Running test Stonith (sgi2)	[354]
2002/04/07_04:26:38	Running test Restart (sgi2)	[355]
2002/04/07_04:27:23	Running test standby (sgi1)	[356]
2002/04/07_04:27:31	Running test Stonith (sgi1)	[357]
2002/04/07_04:30:00	Running test flip (sgi2)	[358]
2002/04/07_04:30:41	Running test Restart (sgi2)	[359]
2002/04/07_04:31:53	Running test Restart (sgi1)	[360]
2002/04/07_04:33:03	Running test SimulStart (sgi2)	[361]
2002/04/07_04:33:20	Running test standby (sgi1)	[362]
2002/04/07_04:33:26	Running test SimulStart (sgi1)	[363]
2002/04/07_04:33:49	Running test SimulStart (sgi1)	[364]
2002/04/07_04:34:14	Running test SimulStart (sgi2)	[365]
2002/04/07_04:34:40	Running test Restart (sgi2)	[366]
2002/04/07_04:35:24	Running test Stonith (sgi1)	[367]
2002/04/07_04:37:56	Running test standby (sgi1)	[368]
2002/04/07_04:38:02	Running test flip (sgi2)	[369]
2002/04/07_04:38:44	Running test flip (sgi2)	[370]
2002/04/07_04:38:51	Running test Stonith (sgi1)	[371]
2002/04/07_04:41:25	Running test flip (sgi2)	[372]
2002/04/07_04:42:06	Running test flip (sgi1)	[373]
2002/04/07_04:42:41	Running test flip (sgi2)	[374]
2002/04/07_04:43:18	Running test Stonith (sgi2)	[375]
2002/04/07_04:46:08	Running test Stonith (sgi2)	[376]
2002/04/07_04:49:04	Running test Restart (sgi1)	[377]
2002/04/07_04:50:16	Running test flip (sgi2)	[378]
2002/04/07_04:50:50	Running test standby (sgi2)	[379]
2002/04/07_04:50:50	Running test flip (sgi1)	[380]
2002/04/07_04:51:27	Running test SimulStart (sgi2)	[381]
2002/04/07_04:51:45	Running test flip (sgi2)	[382]
2002/04/07_04:52:25	Running test SimulStart (sgi2)	[383]
2002/04/07_04:52:43	Running test flip (sgi1)	[384]
2002/04/07_04:53:24	Running test Stonith (sgi1)	[385]
2002/04/07_04:55:57	Running test flip (sgi2)	[386]
2002/04/07_04:56:38	Running test standby (sgi2)	[387]
2002/04/07_04:56:41	Running test standby (sgi1)	[388]
2002/04/07_04:56:54	Running test Restart (sgi2)	[389]
2002/04/07_04:58:04	Running test flip (sgi2)	[390]
2002/04/07_04:58:12	Running test Restart (sgi2)	[391]
2002/04/07_04:58:57	Running test standby (sgi1)	[392]
2002/04/07_04:59:04	Running test Restart (sgi2)	[393]
2002/04/07_04:59:50	Running test flip (sgi1)	[394]
2002/04/07_05:00:31	Running test flip (sgi1)	[395]
2002/04/07_05:00:38	Running test Restart (sgi1)	[396]
2002/04/07_05:01:22	Running test standby (sgi1)	[397]
2002/04/07_05:01:28	Running test Restart (sgi2)	[398]
2002/04/07_05:02:14	Running test flip (sgi1)	[399]
2002/04/07_05:02:56	Running test Stonith (sgi2)	[400]
2002/04/07_05:05:48	Running test flip (sgi2)	[401]
2002/04/07_05:06:22	Running test SimulStart (sgi1)	[402]
2002/04/07_05:06:39	Running test Stonith (sgi1)	[403]
2002/04/07_05:09:08	Running test SimulStart (sgi2)	[404]
2002/04/07_05:09:33	Running test SimulStart (sgi1)	[405]
2002/04/07_05:09:58	Running test Stonith (sgi1)	[406]
2002/04/07_05:12:33	Running test Stonith (sgi2)	[407]
2002/04/07_05:14:54	Running test standby (sgi1)	[408]
2002/04/07_05:15:02	Running test flip (sgi1)	[409]
2002/04/07_05:15:42	Running test Restart (sgi2)	[410]
2002/04/07_05:16:29	Running test SimulStart (sgi1)	[411]
2002/04/07_05:16:55	Running test SimulStart (sgi2)	[412]
2002/04/07_05:17:22	Running test SimulStart (sgi2)	[413]
2002/04/07_05:17:45	Running test SimulStart (sgi2)	[414]
2002/04/07_05:18:11	Running test flip (sgi2)	[415]
2002/04/07_05:18:52	Running test standby (sgi2)	[416]
2002/04/07_05:18:55	Running test standby (sgi2)	[417]
2002/04/07_05:18:58	Running test Restart (sgi2)	[418]
2002/04/07_05:19:46	Running test Stonith (sgi2)	[419]
2002/04/07_05:22:09	Running test Restart (sgi1)	[420]
2002/04/07_05:22:53	Running test Stonith (sgi1)	[421]
2002/04/07_05:25:21	Running test SimulStart (sgi2)	[422]
2002/04/07_05:25:47	Running test Restart (sgi2)	[423]
2002/04/07_05:26:33	Running test standby (sgi2)	[424]
2002/04/07_05:26:39	Running test flip (sgi2)	[425]
2002/04/07_05:27:19	Running test Restart (sgi1)	[426]
2002/04/07_05:28:07	Running test Stonith (sgi1)	[427]
2002/04/07_05:30:38	Running test SimulStart (sgi1)	[428]
2002/04/07_05:31:02	Running test Stonith (sgi2)	[429]
2002/04/07_05:33:25	Running test Stonith (sgi2)	[430]
2002/04/07_05:35:51	Running test Stonith (sgi2)	[431]
2002/04/07_05:38:17	Running test Restart (sgi1)	[432]
2002/04/07_05:39:03	Running test SimulStart (sgi1)	[433]
2002/04/07_05:39:30	Running test standby (sgi1)	[434]
2002/04/07_05:39:37	Running test Restart (sgi2)	[435]
